Wavelength (nm)	n	k
300.000000	1.808740	0.000000	
305.000000	1.807258	0.000000	
310.000000	1.805822	0.000000	
315.000000	1.804430	0.000000	
320.000000	1.803083	0.000000	
325.000000	1.801781	0.000000	
330.000000	1.800521	0.000000	
335.000000	1.799303	0.000000	
340.000000	1.798125	0.000000	
345.000000	1.796985	0.000000	
350.000000	1.795883	0.000000	
355.000000	1.794815	0.000000	
360.000000	1.793783	0.000000	
365.000000	1.792783	0.000000	
370.000000	1.791815	0.000000	
375.000000	1.790877	0.000000	
380.000000	1.789969	0.000000	
385.000000	1.789090	0.000000	
390.000000	1.788239	0.000000	
395.000000	1.787413	0.000000	
400.000000	1.786613	0.000000	
405.000000	1.785838	0.000000	
410.000000	1.785087	0.000000	
415.000000	1.784358	0.000000	
420.000000	1.783651	0.000000	
425.000000	1.782966	0.000000	
430.000000	1.782300	0.000000	
435.000000	1.781655	0.000000	
440.000000	1.781028	0.000000	
445.000000	1.780420	0.000000	
450.000000	1.779829	0.000000	
455.000000	1.779255	0.000000	
460.000000	1.778698	0.000000	
465.000000	1.778156	0.000000	
470.000000	1.777629	0.000000	
475.000000	1.777118	0.000000	
480.000000	1.776620	0.000000	
485.000000	1.776136	0.000000	
490.000000	1.775665	0.000000	
495.000000	1.775207	0.000000	
500.000000	1.774762	0.000000	
505.000000	1.774328	0.000000	
510.000000	1.773905	0.000000	
515.000000	1.773494	0.000000	
520.000000	1.773094	0.000000	
525.000000	1.772704	0.000000	
530.000000	1.772323	0.000000	
535.000000	1.771953	0.000000	
540.000000	1.771592	0.000000	
545.000000	1.771240	0.000000	
550.000000	1.770897	0.000000	
555.000000	1.770563	0.000000	
560.000000	1.770236	0.000000	
565.000000	1.769918	0.000000	
570.000000	1.769607	0.000000	
575.000000	1.769304	0.000000	
580.000000	1.769008	0.000000	
585.000000	1.768719	0.000000	
590.000000	1.768437	0.000000	
595.000000	1.768162	0.000000	
600.000000	1.767892	0.000000	
605.000000	1.767630	0.000000	
610.000000	1.767373	0.000000	
615.000000	1.767122	0.000000	
620.000000	1.766876	0.000000	
625.000000	1.766637	0.000000	
630.000000	1.766402	0.000000	
635.000000	1.766173	0.000000	
640.000000	1.765949	0.000000	
645.000000	1.765729	0.000000	
650.000000	1.765515	0.000000	
655.000000	1.765305	0.000000	
660.000000	1.765100	0.000000	
665.000000	1.764899	0.000000	
670.000000	1.764702	0.000000	
675.000000	1.764509	0.000000	
680.000000	1.764320	0.000000	
685.000000	1.764136	0.000000	
690.000000	1.763955	0.000000	
695.000000	1.763778	0.000000	
