Wavelength (nm),n,k,
260.000000,1.204886,3.142423,
270.000000,1.221957,3.241187,
280.000000,1.259377,3.339362,
290.000000,1.318378,3.445008,
300.000000,1.374131,3.570595,
310.000000,1.416678,3.717378,
320.000000,1.471977,3.863116,
330.000000,1.561214,3.989874,
340.000000,1.674191,4.100092,
350.000000,1.780470,4.207944,
360.000000,1.860417,4.321636,
370.000000,1.921415,4.439799,
380.000000,1.989368,4.555143,
390.000000,2.081855,4.662918,
400.000000,2.206468,4.760817,
410.000000,2.348583,4.847544,
420.000000,2.490902,4.921853,
430.000000,2.621837,4.982489,
440.000000,2.733944,5.028415,
450.000000,2.827624,5.062845,
460.000000,2.909535,5.093147,
470.000000,2.984869,5.125234,
480.000000,3.057388,5.163533,
490.000000,3.129789,5.211248,
500.000000,3.203998,5.269696,
510.000000,3.281551,5.334683,
520.000000,3.363611,5.401226,
530.000000,3.450984,5.465606,
540.000000,3.544199,5.525125,
550.000000,3.643591,5.577894,
560.000000,3.749360,5.622666,
570.000000,3.861382,5.658745,
580.000000,3.977278,5.686302,
590.000000,4.093956,5.705822,
600.000000,4.209019,5.717696,
610.000000,4.320635,5.722235,
620.000000,4.427426,5.719683,
630.000000,4.528368,5.710237,
640.000000,4.622714,5.694056,
650.000000,4.709939,5.671270,
660.000000,4.789691,5.641991,
670.000000,4.861914,5.606707,
680.000000,4.927069,5.566947,
690.000000,4.985619,5.524193,
700.000000,5.037942,5.479697,
710.000000,5.084355,5.434514,
720.000000,5.125124,5.389534,
730.000000,5.160475,5.345511,
740.000000,5.190607,5.303080,
750.000000,5.215694,5.262773,
760.000000,5.235899,5.225039,
770.000000,5.251370,5.190252,
780.000000,5.262253,5.158727,
790.000000,5.268686,5.130723,
800.000000,5.270821,5.106435,
810.000000,5.269000,5.085709,
820.000000,5.263703,5.068134,
830.000000,5.255373,5.053341,
840.000000,5.244412,5.041004,
850.000000,5.231186,5.030830,
860.000000,5.216027,5.022559,
870.000000,5.199234,5.015959,
880.000000,5.181079,5.010821,
890.000000,5.161806,5.006955,
900.000000,5.141636,5.004193,
910.000000,5.120766,5.002380,
920.000000,5.099374,5.001378,
930.000000,5.077621,5.001060,
940.000000,5.055647,5.001310,
950.000000,5.033581,5.002027,
960.000000,5.011535,5.003115,
970.000000,4.989611,5.004487,
980.000000,4.967896,5.006065,
990.000000,4.946471,5.007780,
1000.000000,4.925404,5.009565,
