Wavelength (nm)	n	k
300.000000	5.098958	4.229852	
305.000000	5.121624	3.865818	
310.000000	5.117680	3.621227	
315.000000	5.121435	3.446638	
320.000000	5.138911	3.312461	
325.000000	5.168764	3.203710	
330.000000	5.208802	3.113733	
335.000000	5.258816	3.040944	
340.000000	5.321997	2.986385	
345.000000	5.405583	2.951986	
350.000000	5.522858	2.941624	
355.000000	5.709569	2.961696	
360.000000	6.058179	2.966894	
365.000000	6.587386	2.727565	
370.000000	6.958573	2.099057	
375.000000	6.919342	1.407301	
380.000000	6.652394	0.917572	
385.000000	6.343146	0.618216	
390.000000	6.060355	0.444375	
395.000000	5.823414	0.345221	
400.000000	5.631716	0.285821	
405.000000	5.476459	0.245094	
410.000000	5.346557	0.212583	
415.000000	5.233992	0.184738	
420.000000	5.134190	0.160635	
425.000000	5.044298	0.139839	
430.000000	4.962605	0.122019	
435.000000	4.887797	0.106798	
440.000000	4.819139	0.093921	
445.000000	4.755830	0.083053	
450.000000	4.697289	0.073916	
455.000000	4.643054	0.066269	
460.000000	4.592727	0.059891	
465.000000	4.545945	0.054584	
470.000000	4.502385	0.050174	
475.000000	4.461776	0.046511	
480.000000	4.423916	0.043472	
485.000000	4.388487	0.040925	
490.000000	4.355280	0.038776	
495.000000	4.324195	0.036955	
500.000000	4.294928	0.035375	
505.000000	4.267465	0.033996	
510.000000	4.241527	0.032759	
515.000000	4.217061	0.031635	
520.000000	4.193921	0.030593	
525.000000	4.171972	0.029611	
530.000000	4.151134	0.028675	
535.000000	4.131348	0.027778	
540.000000	4.112494	0.026909	
545.000000	4.094506	0.026067	
550.000000	4.077324	0.025248	
555.000000	4.060901	0.024452	
560.000000	4.045183	0.023677	
565.000000	4.030123	0.022924	
570.000000	4.015677	0.022191	
575.000000	4.001804	0.021478	
580.000000	3.988471	0.020785	
585.000000	3.975641	0.020111	
590.000000	3.963310	0.019458	
595.000000	3.951430	0.018822	
600.000000	3.939969	0.018204	
605.000000	3.928901	0.017604	
610.000000	3.918242	0.017022	
615.000000	3.907937	0.016456	
620.000000	3.897960	0.015905	
625.000000	3.888344	0.015373	
630.000000	3.879018	0.014855	
635.000000	3.870000	0.014352	
640.000000	3.861261	0.013864	
645.000000	3.852794	0.013390	
650.000000	3.844585	0.012930	
655.000000	3.836627	0.012484	
660.000000	3.828895	0.012051	
665.000000	3.821406	0.011631	
670.000000	3.814114	0.011223	
675.000000	3.807049	0.010828	
680.000000	3.800177	0.010445	
685.000000	3.793484	0.010072	
690.000000	3.786997	0.009712	
695.000000	3.780678	0.009362	
700.000000	3.774520	0.009022	
705.000000	3.768532	0.008693	
710.000000	3.762708	0.008374	
715.000000	3.757030	0.008065	
720.000000	3.751493	0.007765	
725.000000	3.746093	0.007474	
730.000000	3.740840	0.007192	
735.000000	3.735718	0.006920	
740.000000	3.730720	0.006655	
745.000000	3.725842	0.006399	
750.000000	3.721079	0.006150	
755.000000	3.716429	0.005909	
760.000000	3.711889	0.005676	
765.000000	3.707454	0.005450	
770.000000	3.703123	0.005232	
775.000000	3.698891	0.005020	
780.000000	3.694759	0.004815	
785.000000	3.690717	0.004617	
790.000000	3.686767	0.004425	
795.000000	3.682903	0.004239	
800.000000	3.679123	0.004060	
805.000000	3.675428	0.003886	
810.000000	3.671813	0.003718	
815.000000	3.668275	0.003556	
820.000000	3.664813	0.003399	
825.000000	3.661422	0.003247	
830.000000	3.658103	0.003101	
835.000000	3.654850	0.002959	
840.000000	3.651664	0.002822	
845.000000	3.648541	0.002690	
850.000000	3.645480	0.002562	
855.000000	3.642480	0.002439	
860.000000	3.639549	0.002321	
865.000000	3.636673	0.002206	
870.000000	3.633851	0.002096	
875.000000	3.631082	0.001990	
880.000000	3.628362	0.001887	
885.000000	3.625701	0.001789	
890.000000	3.623096	0.001694	
895.000000	3.620535	0.001603	
900.000000	3.618019	0.001515	
905.000000	3.615546	0.001430	
910.000000	3.613132	0.001350	
915.000000	3.610759	0.001272	
920.000000	3.608423	0.001197	
925.000000	3.606128	0.001125	
930.000000	3.603887	0.001057	
935.000000	3.601679	0.000991	
940.000000	3.599504	0.000928	
945.000000	3.597378	0.000868	
950.000000	3.595289	0.000811	
955.000000	3.593227	0.000756	
960.000000	3.591208	0.000704	
965.000000	3.589228	0.000654	
970.000000	3.587272	0.000607	
975.000000	3.585356	0.000562	
980.000000	3.583476	0.000520	
985.000000	3.581618	0.000479	
990.000000	3.579801	0.000441	
995.000000	3.578013	0.000405	
1000.000000	3.576244	0.000370	
1005.000000	3.574522	0.000338	
1010.000000	3.572817	0.000308	
1015.000000	3.571142	0.000280	
1020.000000	3.569499	0.000254	
1025.000000	3.567871	0.000229	
1030.000000	3.566286	0.000206	
1035.000000	3.564716	0.000185	
1040.000000	3.563174	0.000165	
1045.000000	3.561659	0.000147	
1050.000000	3.560161	0.000130	
1055.000000	3.558699	0.000115	
1060.000000	3.557244	0.000101	
1065.000000	3.555830	0.000089	
1070.000000	3.554424	0.000077	
1075.000000	3.553051	0.000068	
1080.000000	3.551692	0.000058	
1085.000000	3.550360	0.000050	
1090.000000	3.549045	0.000043	
1095.000000	3.547751	0.000037	
1100.000000	3.546478	0.000031	
1105.000000	3.545223	0.000027	
1110.000000	3.543989	0.000022	
1115.000000	3.542772	0.000019	
1120.000000	3.541575	0.000016	
1125.000000	3.540394	0.000013	
1130.000000	3.539233	0.000011	
1135.000000	3.538089	0.000009	
1140.000000	3.536962	0.000007	
1145.000000	3.535852	0.000006	
1150.000000	3.534755	0.000005	
1155.000000	3.533679	0.000004	
