Wavelength (nm)	n	k
310.000000	1.594043	0.117155	
320.000000	1.644339	0.116433	
330.000000	1.685423	0.115042	
340.000000	1.714314	0.112391	
350.000000	1.731471	0.107716	
360.000000	1.740793	0.099925	
370.000000	1.745459	0.088267	
380.000000	1.747411	0.073027	
390.000000	1.746677	0.056861	
400.000000	1.742966	0.042186	
410.000000	1.736042	0.030752	
420.000000	1.726158	0.023333	
430.000000	1.714702	0.019149	
440.000000	1.702971	0.017359	
450.000000	1.691991	0.017290	
460.000000	1.682555	0.018392	
470.000000	1.674971	0.020218	
480.000000	1.668896	0.022408	
490.000000	1.663977	0.024671	
500.000000	1.659920	0.026778	
510.000000	1.656482	0.028552	
520.000000	1.653460	0.029853	
530.000000	1.650685	0.030620	
540.000000	1.648003	0.030934	
550.000000	1.645289	0.030892	
560.000000	1.642442	0.030573	
570.000000	1.639382	0.030046	
580.000000	1.636047	0.029367	
590.000000	1.632389	0.028585	
600.000000	1.628370	0.027739	
610.000000	1.623987	0.026863	
620.000000	1.619343	0.025990	
630.000000	1.614558	0.025148	
640.000000	1.609728	0.024361	
650.000000	1.604939	0.023648	
660.000000	1.600261	0.023027	
670.000000	1.595751	0.022509	
680.000000	1.591458	0.022106	
690.000000	1.587422	0.021826	
700.000000	1.583675	0.021674	
710.000000	1.580244	0.021656	
720.000000	1.577134	0.021767	
730.000000	1.574267	0.021971	
740.000000	1.571543	0.022220	
750.000000	1.568874	0.022475	
760.000000	1.566187	0.022700	
770.000000	1.563416	0.022866	
780.000000	1.560508	0.022949	
790.000000	1.557416	0.022927	
800.000000	1.554103	0.022782	
810.000000	1.550534	0.022500	
820.000000	1.546683	0.022068	
830.000000	1.542527	0.021475	
840.000000	1.538048	0.020714	
850.000000	1.533231	0.019775	
860.000000	1.528064	0.018654	
870.000000	1.522538	0.017345	
880.000000	1.516650	0.015845	
890.000000	1.510442	0.014164	
900.000000	1.503980	0.012318	
910.000000	1.497323	0.010321	
920.000000	1.490525	0.008188	
930.000000	1.483633	0.005931	
940.000000	1.476692	0.003561	
950.000000	1.469739	0.001089	
960.000000	1.462811	-0.001474	
970.000000	1.455939	-0.004118	
980.000000	1.449150	-0.006835	
990.000000	1.442471	-0.009616	
1000.000000	1.435925	-0.012454	
1010.000000	1.429530	-0.015340	
1020.000000	1.423306	-0.018267	
1030.000000	1.417268	-0.021229	
1040.000000	1.411431	-0.024219	
1050.000000	1.405806	-0.027231	
1060.000000	1.400405	-0.030258	
1070.000000	1.395236	-0.033296	
1080.000000	1.390308	-0.036339	
1090.000000	1.385626	-0.039381	
1100.000000	1.381196	-0.042419	
1110.000000	1.377024	-0.045446	
1120.000000	1.373110	-0.048460	
1130.000000	1.369459	-0.051456	
1140.000000	1.366069	-0.054429	
1150.000000	1.362925	-0.057379	
1160.000000	1.360014	-0.060304	
1170.000000	1.357320	-0.063201	
1180.000000	1.354829	-0.066071	
1190.000000	1.352529	-0.068911	
1200.000000	1.350407	-0.071720	
1210.000000	1.348453	-0.074498	
1220.000000	1.346654	-0.077245	
1230.000000	1.345001	-0.079959	
1240.000000	1.343485	-0.082640	
1250.000000	1.342096	-0.085287	
1260.000000	1.340825	-0.087901	
1270.000000	1.339666	-0.090482	
1280.000000	1.338609	-0.093028	
1290.000000	1.337648	-0.095541	
1300.000000	1.336776	-0.098020	
1310.000000	1.335987	-0.100465	
1320.000000	1.335275	-0.102877	
1330.000000	1.334635	-0.105255	
1340.000000	1.334060	-0.107600	
1350.000000	1.333547	-0.109913	
1360.000000	1.333091	-0.112192	
1370.000000	1.332687	-0.114440	
1380.000000	1.332331	-0.116655	
1390.000000	1.332020	-0.118839	
1400.000000	1.331749	-0.120992	
1410.000000	1.331516	-0.123115	
1420.000000	1.331317	-0.125207	
1430.000000	1.331149	-0.127269	
1440.000000	1.331010	-0.129301	
1450.000000	1.330897	-0.131305	
1460.000000	1.330807	-0.133280	
1470.000000	1.330739	-0.135228	
1480.000000	1.330689	-0.137147	
1490.000000	1.330657	-0.139040	
1500.000000	1.330640	-0.140906	
1510.000000	1.330636	-0.142745	
1520.000000	1.330644	-0.144559	
1530.000000	1.330663	-0.146348	
1540.000000	1.330690	-0.148112	
1550.000000	1.330725	-0.149852	
1560.000000	1.330766	-0.151567	
1570.000000	1.330812	-0.153260	
1580.000000	1.330862	-0.154929	
1590.000000	1.330915	-0.156575	
1600.000000	1.330970	-0.158200	
