Wavelength µm,n,k
0.138,1.637041481,
0.1599,1.553060079,
0.1818,1.514486672,
0.2036,1.492406926,
0.2255,1.478136398,
0.2474,1.468297778,
0.2693,1.461173316,
0.2912,1.45582177,
0.313,1.451701963,
0.3349,1.448426464,
0.3568,1.445785476,
0.3787,1.443621224,
0.4006,1.441822682,
0.4224,1.440316051,
0.4443,1.439028546,
0.4662,1.437923139,
0.4881,1.436965772,
0.51,1.436130023,
0.5318,1.435398272,
0.5537,1.434747337,
0.5756,1.434167498,
0.5975,1.433647963,
0.6194,1.4331799,
0.6412,1.432757862,
0.6631,1.432371936,
0.685,1.432019072,
0.7069,1.431694994,
0.7288,1.431396074,
0.7506,1.43112044,
0.7725,1.430862928,
0.7944,1.43062257,
0.8163,1.430397396,
0.8382,1.430185697,
0.86,1.429986868,
0.8819,1.429797787,
0.9038,1.429618246,
0.9257,1.429447236,
0.9476,1.429283865,
0.9694,1.429128043,
0.9913,1.42897764,
1.013,1.428834059,
1.035,1.428693468,
1.057,1.42855738,
1.079,1.428425337,
1.101,1.428296928,
1.123,1.428171782,
1.144,1.428055059,
1.166,1.427935351,
1.188,1.427818003,
1.21,1.427702763,
1.232,1.427589403,
1.254,1.427477712,
1.276,1.427367501,
1.298,1.427258594,
1.32,1.427150831,
1.341,1.427048898,
1.363,1.426942957,
1.385,1.426837758,
1.407,1.426733186,
1.429,1.426629134,
1.451,1.426525504,
1.473,1.426422204,
1.495,1.426319151,
1.516,1.42622094,
1.538,1.426118148,
1.56,1.426015385,
1.582,1.42591259,
1.604,1.425809703,
1.626,1.425706669,
1.648,1.425603437,
1.67,1.42549996,
1.691,1.425400915,
1.713,1.425296829,
1.735,1.425192373,
1.757,1.425087509,
1.779,1.424982202,
1.801,1.42487642,
1.823,1.424770132,
1.845,1.424663309,
1.867,1.424555924,
1.888,1.424452871,
1.91,1.424344314,
1.932,1.424235122,
1.954,1.424125274,
1.976,1.424014749,
1.998,1.423903529,
2.02,1.423791594,
2.042,1.423678927,
2.063,1.423570683,
2.085,1.423456538,
2.107,1.423341615,
2.129,1.423225899,
2.151,1.423109377,
2.173,1.422992035,
2.195,1.422873862,
2.217,1.422754846,
2.238,1.422640443,
2.26,1.422519748,
2.282,1.422398178,
2.304,1.422275724,
2.326,1.422152376,
