Wavelength (nm)	n	k
300.000000	0.323545	3.232297	
305.000000	0.342110	3.287730	
310.000000	0.359363	3.342277	
315.000000	0.375187	3.397334	
320.000000	0.389496	3.453953	
325.000000	0.402240	3.512904	
330.000000	0.413819	3.574218	
335.000000	0.425401	3.636834	
340.000000	0.438000	3.699776	
345.000000	0.452389	3.762270	
350.000000	0.469150	3.823712	
355.000000	0.488656	3.883650	
360.000000	0.510413	3.941846	
365.000000	0.533450	3.998196	
370.000000	0.556970	4.052624	
375.000000	0.580327	4.105073	
380.000000	0.603003	4.155507	
385.000000	0.624584	4.203898	
390.000000	0.644776	4.250352	
395.000000	0.663486	4.295508	
400.000000	0.680689	4.340067	
405.000000	0.696368	4.384604	
410.000000	0.710519	4.429589	
415.000000	0.723146	4.475404	
420.000000	0.734267	4.522355	
425.000000	0.743908	4.570679	
430.000000	0.752178	4.620507	
435.000000	0.759647	4.671593	
440.000000	0.766974	4.723587	
445.000000	0.774710	4.776186	
450.000000	0.783311	4.829125	
455.000000	0.793151	4.882179	
460.000000	0.804530	4.935153	
465.000000	0.817688	4.987884	
470.000000	0.832814	5.040233	
475.000000	0.850048	5.092088	
480.000000	0.869411	5.143386	
485.000000	0.890398	5.194216	
490.000000	0.912390	5.244706	
495.000000	0.934853	5.294961	
500.000000	0.957326	5.345064	
505.000000	0.979416	5.395080	
510.000000	1.000786	5.445059	
515.000000	1.021154	5.495039	
520.000000	1.040280	5.545049	
525.000000	1.057966	5.595107	
530.000000	1.074050	5.645228	
535.000000	1.088400	5.695420	
540.000000	1.100914	5.745688	
545.000000	1.111773	5.796005	
550.000000	1.121632	5.846288	
555.000000	1.131119	5.896456	
560.000000	1.140781	5.946441	
565.000000	1.151089	5.996178	
570.000000	1.162451	6.045613	
575.000000	1.175213	6.094702	
580.000000	1.189673	6.143404	
585.000000	1.206079	6.191689	
590.000000	1.224641	6.239532	
595.000000	1.245529	6.286915	
600.000000	1.268885	6.333832	
605.000000	1.294819	6.380277	
610.000000	1.323414	6.426255	
615.000000	1.354735	6.471777	
620.000000	1.388823	6.516859	
625.000000	1.425653	6.561506	
630.000000	1.464786	6.605611	
635.000000	1.505636	6.649021	
640.000000	1.547680	6.691596	
645.000000	1.590454	6.733208	
650.000000	1.633545	6.773741	
655.000000	1.676592	6.813090	
660.000000	1.719273	6.851160	
665.000000	1.761308	6.887860	
670.000000	1.802451	6.923114	
675.000000	1.842486	6.956848	
680.000000	1.881224	6.988998	
685.000000	1.918502	7.019508	
690.000000	1.954177	7.048326	
695.000000	1.988128	7.075407	
700.000000	2.020246	7.100713	
705.000000	2.050440	7.124211	
710.000000	2.078631	7.145871	
715.000000	2.104753	7.165671	
720.000000	2.128746	7.183590	
725.000000	2.150562	7.199615	
730.000000	2.170159	7.213732	
735.000000	2.187501	7.225935	
740.000000	2.202618	7.236334	
745.000000	2.215626	7.245198	
750.000000	2.226638	7.252793	
755.000000	2.235761	7.259365	
760.000000	2.243091	7.265141	
765.000000	2.248719	7.270332	
770.000000	2.252732	7.275136	
775.000000	2.255209	7.279733	
780.000000	2.256226	7.284295	
785.000000	2.255855	7.288977	
790.000000	2.254165	7.293925	
795.000000	2.251222	7.299273	
800.000000	2.247089	7.305148	
805.000000	2.241827	7.311662	
810.000000	2.235494	7.318923	
815.000000	2.228149	7.327028	
820.000000	2.219847	7.336065	
825.000000	2.210643	7.346117	
830.000000	2.200590	7.357257	
835.000000	2.189740	7.369552	
840.000000	2.178145	7.383061	
845.000000	2.165854	7.397840	
850.000000	2.152918	7.413933	
855.000000	2.139385	7.431385	
860.000000	2.125302	7.450229	
865.000000	2.110716	7.470495	
870.000000	2.095674	7.492209	
875.000000	2.080219	7.515391	
880.000000	2.064397	7.540056	
885.000000	2.048251	7.566214	
890.000000	2.031821	7.593872	
895.000000	2.015150	7.623031	
900.000000	1.998284	7.653683	
