Wavelength (nm);n;k;n (model);k (model)
300;1.472498;1.78084;1.675489;1.816294
310;1.511024;1.785181;1.705368;1.818399
320;1.543652;1.777973;1.715218;1.80552
330;1.562869;1.768927;1.699916;1.783051
340;1.575137;1.740906;1.675671;1.76801
350;1.550407;1.724456;1.652009;1.763886
360;1.512636;1.736256;1.632322;1.77255
370;1.497744;1.767145;1.615064;1.798293
380;1.488467;1.796544;1.59935;1.829731
390;1.486581;1.814164;1.585078;1.851778
400;1.486126;1.823225;1.574907;1.867696
410;1.483126;1.829384;1.561851;1.870421
420;1.471822;1.824729;1.550503;1.864653
430;1.451886;1.817432;1.535266;1.851934
440;1.428708;1.804213;1.505642;1.831164
450;1.395865;1.775658;1.445693;1.801389
460;1.351766;1.746154;1.369942;1.768837
470;1.274198;1.703751;1.277804;1.741539
480;1.160526;1.659777;1.163612;1.727206
490;1.002315;1.64548;1.006664;1.746067
500;0.822569;1.687384;0.851518;1.812227
510;0.657061;1.795611;0.71422;1.937293
520;0.53463;1.933246;0.600163;2.083871
530;0.446459;2.076752;0.515904;2.256699
540;0.383407;2.212103;0.448273;2.418623
550;0.337198;2.34655;0.411887;2.54775
560;0.295826;2.470556;0.379782;2.671083
570;0.268754;2.588303;0.35904;2.733556
580;0.244267;2.705616;0.343601;2.763675
590;0.225527;2.815113;0.328471;2.793602
600;0.205795;2.920278;0.313641;2.823335
610;0.189793;3.019321;0.299097;2.852874
620;0.178687;3.123345;0.28483;2.88222
630;0.168816;3.224545;0.270829;2.911373
640;0.162255;3.321958;0.257085;2.940334
650;0.145533;3.413251;0.243587;2.969104
660;0.143886;3.50903;0.239138;3.104522
670;0.139224;3.603041;0.237846;3.268702
680;0.133509;3.696111;0.236492;3.424272
690;0.127592;3.785621;0.235156;3.570548
700;0.121582;3.87805;0.234714;3.697047
710;0.123195;3.965986;0.234036;3.81911
720;0.126306;4.050209;0.233116;3.937199
730;0.120229;4.134839;0.232017;4.051175
740;0.121177;4.215568;0.231563;4.155113
750;0.127289;4.305377;0.230841;4.25649
