Wavelength (nm)	n	k
380.000000	1.842908	-0.070313	
400.000000	1.851451	-0.096452	
420.000000	1.854956	-0.118199	
440.000000	1.852035	-0.135397	
460.000000	1.846047	-0.149793	
480.000000	1.840027	-0.162796	
500.000000	1.835410	-0.174291	
520.000000	1.832605	-0.183316	
540.000000	1.831746	-0.189334	
560.000000	1.832433	-0.192856	
580.000000	1.833719	-0.195483	
600.000000	1.834913	-0.198400	
620.000000	1.835568	-0.202376	
640.000000	1.835547	-0.207642	
660.000000	1.835161	-0.213634	
680.000000	1.834696	-0.219818	
700.000000	1.834348	-0.225816	
720.000000	1.834250	-0.231361	
740.000000	1.834485	-0.236272	
760.000000	1.835046	-0.240525	
780.000000	1.835839	-0.244241	
800.000000	1.836789	-0.247529	
820.000000	1.837836	-0.250474	
840.000000	1.838932	-0.253148	
860.000000	1.840043	-0.255607	
880.000000	1.841141	-0.257896	
900.000000	1.842207	-0.260052	
