Wavelength (nm),n,k
270,1.204946,4.223987
280,1.367006,4.307498
290,1.486221,4.387962
300,1.57086,4.492058
310,1.655998,4.63502
320,1.774625,4.795602
330,1.920907,4.936972
340,2.069081,5.051858
350,2.201859,5.156286
360,2.328784,5.268883
370,2.465683,5.39043
380,2.625145,5.509383
390,2.802933,5.607504
400,2.986605,5.679026
410,3.166017,5.724638
420,3.333172,5.748801
430,3.484554,5.757923
440,3.618845,5.756631
450,3.734787,5.748899
460,3.83055,5.739149
470,3.904745,5.735819
480,3.963647,5.747849
490,4.015884,5.778633
500,4.069649,5.828274
510,4.132447,5.894526
520,4.211306,5.97298
530,4.31207,6.054548
540,4.432437,6.128635
550,4.567062,6.189889
560,4.710939,6.235837
570,4.859743,6.265606
580,5.009821,6.279261
590,5.158077,6.277452
600,5.301778,6.261268
610,5.438588,6.232614
620,5.567513,6.193672
630,5.68815,6.146019
640,5.800252,6.090891
650,5.903652,6.029312
660,5.998213,5.962154
670,6.08381,5.890186
680,6.160298,5.814101
690,6.227489,5.734553
700,6.285113,5.65219
710,6.332708,5.567783
720,6.369897,5.482727
730,6.397099,5.398423
740,6.41495,5.315867
750,6.424123,5.235813
760,6.425287,5.15885
770,6.419094,5.085442
780,6.406174,5.01596
790,6.387131,4.950695
800,6.362549,4.88988
810,6.332994,4.833694
820,6.299013,4.782267
830,6.261143,4.735693
840,6.219914,4.694021
850,6.175861,4.657263
860,6.129534,4.625374
870,6.081525,4.598171
880,6.032245,4.575299
890,5.981944,4.556461
900,5.930822,4.541414
910,5.879042,4.529945
920,5.826749,4.521867
930,5.774068,4.517009
940,5.721111,4.515216
950,5.667982,4.516347
960,5.614775,4.520268
970,5.561577,4.526855
980,5.508471,4.53599
990,5.455534,4.54756
1000,5.402839,4.561456
1010,5.350457,4.577574
1020,5.298455,4.595811
1030,5.246899,4.616066
1040,5.195852,4.638237
1050,5.145378,4.662226
1060,5.09554,4.687928
1070,5.0464,4.71524
1080,4.998027,4.744051
1090,4.950491,4.774242
1100,4.903876,4.805681
