Wavelength (nm)	n	k
300.000000	1.449273	7.025400	
310.000000	1.690907	7.137438	
320.000000	1.905240	7.224142	
330.000000	2.090842	7.271749	
340.000000	2.214399	7.286691	
350.000000	2.230634	7.282484	
360.000000	2.116505	7.275913	
370.000000	1.914947	7.319244	
380.000000	1.688980	7.463260	
390.000000	1.492032	7.731977	
400.000000	1.360377	8.085121	
410.000000	1.307853	8.446538	
420.000000	1.335419	8.765501	
430.000000	1.439704	9.012972	
440.000000	1.591685	9.195212	
450.000000	1.741078	9.342453	
460.000000	1.850215	9.476201	
470.000000	1.892318	9.611102	
480.000000	1.849994	9.758286	
490.000000	1.735974	9.927622	
500.000000	1.587884	10.126608	
510.000000	1.436647	10.358754	
520.000000	1.305563	10.624011	
530.000000	1.211088	10.919953	
540.000000	1.163782	11.243072	
550.000000	1.167494	11.587261	
560.000000	1.218125	11.941316	
570.000000	1.310433	12.296226	
580.000000	1.439546	12.645760	
590.000000	1.601130	12.985736	
600.000000	1.791408	13.313466	
610.000000	2.007120	13.627350	
620.000000	2.245459	13.926562	
630.000000	2.503176	14.211024	
640.000000	2.773172	14.481867	
650.000000	3.048397	14.740220	
660.000000	3.323362	14.986837	
670.000000	3.593826	15.222203	
680.000000	3.856550	15.446620	
690.000000	4.109097	15.660275	
700.000000	4.349666	15.863303	
710.000000	4.576962	16.055805	
720.000000	4.790088	16.237885	
730.000000	4.988460	16.409657	
740.000000	5.171881	16.571266	
750.000000	5.341925	16.722975	
760.000000	5.500955	16.865143	
770.000000	5.650993	16.998177	
780.000000	5.793755	17.122492	
790.000000	5.930700	17.238522	
800.000000	6.063072	17.346684	
810.000000	6.191928	17.447399	
820.000000	6.318171	17.541071	
830.000000	6.442567	17.628096	
840.000000	6.565768	17.708851	
850.000000	6.688327	17.783701	
860.000000	6.810714	17.853001	
870.000000	6.933321	17.917082	
880.000000	7.056481	17.976273	
890.000000	7.180469	18.030880	
900.000000	7.305503	18.081217	
910.000000	7.431565	18.127934	
920.000000	7.558433	18.171942	
930.000000	7.685888	18.214054	
940.000000	7.813722	18.254974	
950.000000	7.941733	18.295317	
960.000000	8.069733	18.335613	
970.000000	8.197541	18.376322	
980.000000	8.324989	18.417833	
990.000000	8.451918	18.460480	
1000.000000	8.578177	18.504541	
1010.000000	8.703632	18.550253	
1020.000000	8.828152	18.597805	
1030.000000	8.951622	18.647352	
1040.000000	9.073934	18.699017	
1050.000000	9.194991	18.752890	
1060.000000	9.314707	18.809042	
1070.000000	9.433005	18.867517	
1080.000000	9.549813	18.928339	
1090.000000	9.665075	18.991518	
1100.000000	9.778739	19.057047	
1110.000000	9.890759	19.124907	
1120.000000	10.001103	19.195066	
1130.000000	10.109737	19.267487	
1140.000000	10.216641	19.342121	
1150.000000	10.321797	19.418915	
1160.000000	10.425195	19.497738	
1170.000000	10.526828	19.578314	
1180.000000	10.626700	19.660378	
1190.000000	10.724815	19.743675	
1200.000000	10.821188	19.827990	
1210.000000	10.915832	19.913109	
1220.000000	11.008765	19.998850	
1230.000000	11.100010	20.085039	
1240.000000	11.189590	20.171524	
1250.000000	11.277531	20.258162	
1260.000000	11.363858	20.344826	
1270.000000	11.448600	20.431402	
1280.000000	11.531785	20.517782	
1290.000000	11.613442	20.603876	
1300.000000	11.693601	20.689596	
1310.000000	11.772290	20.774864	
1320.000000	11.849542	20.859615	
1330.000000	11.925384	20.943787	
1340.000000	11.999846	21.027321	
1350.000000	12.072958	21.110172	
1360.000000	12.144751	21.192295	
1370.000000	12.215249	21.273653	
1380.000000	12.284484	21.354210	
1390.000000	12.352483	21.433939	
1400.000000	12.419273	21.512812	
1410.000000	12.484882	21.590809	
1420.000000	12.549335	21.667908	
1430.000000	12.612659	21.744099	
1440.000000	12.674877	21.819361	
1450.000000	12.736017	21.893688	
1460.000000	12.796102	21.967072	
1470.000000	12.855154	22.039505	
1480.000000	12.913198	22.110981	
1490.000000	12.970256	22.181499	
1500.000000	13.026350	22.251059	
1510.000000	13.081501	22.319656	
1520.000000	13.135731	22.387295	
1530.000000	13.189059	22.453978	
1540.000000	13.241507	22.519709	
1550.000000	13.293093	22.584490	
1560.000000	13.343835	22.648327	
1570.000000	13.393754	22.711226	
1580.000000	13.442866	22.773195	
1590.000000	13.491189	22.834240	
1600.000000	13.538741	22.894367	
