Wavelength (nm)	n	k
300.000000	1.561111	0.000000	
310.000000	1.554058	0.000000	
320.000000	1.547656	0.000000	
330.000000	1.541827	0.000000	
340.000000	1.536505	0.000000	
350.000000	1.531633	0.000000	
360.000000	1.527161	0.000000	
370.000000	1.523046	0.000000	
380.000000	1.519252	0.000000	
390.000000	1.515746	0.000000	
400.000000	1.512500	0.000000	
410.000000	1.509488	0.000000	
420.000000	1.506689	0.000000	
430.000000	1.504083	0.000000	
440.000000	1.501653	0.000000	
450.000000	1.499383	0.000000	
460.000000	1.497259	0.000000	
470.000000	1.495269	0.000000	
480.000000	1.493403	0.000000	
490.000000	1.491649	0.000000	
500.000000	1.490000	0.000000	
510.000000	1.488447	0.000000	
520.000000	1.486982	0.000000	
530.000000	1.485600	0.000000	
540.000000	1.484294	0.000000	
550.000000	1.483058	0.000000	
560.000000	1.481888	0.000000	
570.000000	1.480779	0.000000	
580.000000	1.479727	0.000000	
590.000000	1.478727	0.000000	
600.000000	1.477778	0.000000	
610.000000	1.476874	0.000000	
620.000000	1.476015	0.000000	
630.000000	1.475195	0.000000	
640.000000	1.474414	0.000000	
650.000000	1.473669	0.000000	
660.000000	1.472957	0.000000	
670.000000	1.472277	0.000000	
680.000000	1.471626	0.000000	
690.000000	1.471004	0.000000	
700.000000	1.470408	0.000000	
710.000000	1.469837	0.000000	
720.000000	1.469290	0.000000	
730.000000	1.468765	0.000000	
740.000000	1.468261	0.000000	
750.000000	1.467778	0.000000	
760.000000	1.467313	0.000000	
770.000000	1.466866	0.000000	
780.000000	1.466437	0.000000	
790.000000	1.466023	0.000000	
800.000000	1.465625	0.000000	
810.000000	1.465242	0.000000	
820.000000	1.464872	0.000000	
830.000000	1.464516	0.000000	
840.000000	1.464172	0.000000	
850.000000	1.463841	0.000000	
860.000000	1.463521	0.000000	
870.000000	1.463212	0.000000	
880.000000	1.462913	0.000000	
890.000000	1.462625	0.000000	
900.000000	1.462346	0.000000	
910.000000	1.462076	0.000000	
920.000000	1.461815	0.000000	
930.000000	1.461562	0.000000	
940.000000	1.461317	0.000000	
950.000000	1.461080	0.000000	
960.000000	1.460851	0.000000	
970.000000	1.460628	0.000000	
980.000000	1.460412	0.000000	
990.000000	1.460203	0.000000	
1000.000000	1.460000	0.000000	
1010.000000	1.459803	0.000000	
1020.000000	1.459612	0.000000	
1030.000000	1.459426	0.000000	
1040.000000	1.459246	0.000000	
1050.000000	1.459070	0.000000	
1060.000000	1.458900	0.000000	
1070.000000	1.458734	0.000000	
1080.000000	1.458573	0.000000	
1090.000000	1.458417	0.000000	
1100.000000	1.458264	0.000000	
1110.000000	1.458116	0.000000	
1120.000000	1.457972	0.000000	
1130.000000	1.457832	0.000000	
1140.000000	1.457695	0.000000	
1150.000000	1.457561	0.000000	
1160.000000	1.457432	0.000000	
1170.000000	1.457305	0.000000	
1180.000000	1.457182	0.000000	
1190.000000	1.457062	0.000000	
1200.000000	1.456944	0.000000	
1210.000000	1.456830	0.000000	
1220.000000	1.456719	0.000000	
1230.000000	1.456610	0.000000	
1240.000000	1.456504	0.000000	
1250.000000	1.456400	0.000000	
1260.000000	1.456299	0.000000	
1270.000000	1.456200	0.000000	
1280.000000	1.456104	0.000000	
1290.000000	1.456009	0.000000	
1300.000000	1.455917	0.000000	
1310.000000	1.455827	0.000000	
1320.000000	1.455739	0.000000	
1330.000000	1.455653	0.000000	
1340.000000	1.455569	0.000000	
1350.000000	1.455487	0.000000	
1360.000000	1.455407	0.000000	
1370.000000	1.455328	0.000000	
1380.000000	1.455251	0.000000	
1390.000000	1.455176	0.000000	
1400.000000	1.455102	0.000000	
1410.000000	1.455030	0.000000	
1420.000000	1.454959	0.000000	
1430.000000	1.454890	0.000000	
1440.000000	1.454823	0.000000	
1450.000000	1.454756	0.000000	
1460.000000	1.454691	0.000000	
1470.000000	1.454628	0.000000	
1480.000000	1.454565	0.000000	
1490.000000	1.454504	0.000000	
1500.000000	1.454444	0.000000	
1510.000000	1.454386	0.000000	
1520.000000	1.454328	0.000000	
1530.000000	1.454272	0.000000	
1540.000000	1.454217	0.000000	
1550.000000	1.454162	0.000000	
1560.000000	1.454109	0.000000	
1570.000000	1.454057	0.000000	
1580.000000	1.454006	0.000000	
1590.000000	1.453956	0.000000	
1600.000000	1.453906	0.000000	
