Wavelength (nm)	n	k
245.608124	0.014564	1.492512
247.194183	0.147763	1.438704
248.780243	0.275746	1.387487
250.366364	0.398732	1.338705
251.952515	0.516927	1.292219
253.538666	0.630522	1.2479
255.124878	0.739708	1.205621
256.711121	0.844663	1.165271
258.297333	0.945555	1.126743
259.883636	1.042552	1.089934
261.46994	1.135806	1.054752
263.056274	1.225466	1.02111
264.642639	1.311676	0.988924
266.229034	1.394572	0.958118
267.81543	1.474282	0.928619
269.401886	1.550934	0.900359
270.988342	1.624645	0.873276
272.574829	1.695529	0.847307
274.161346	1.763697	0.822397
275.747864	1.829252	0.798494
277.334442	1.892295	0.775547
278.921021	1.952922	0.753509
280.507629	2.011225	0.732335
282.094269	2.067291	0.711985
283.680939	2.121207	0.692418
285.267609	2.173051	0.673597
286.854309	2.222903	0.655487
288.44104	2.270837	0.638055
290.027771	2.316925	0.62127
291.614532	2.361233	0.605102
293.201324	2.40383	0.589522
294.788147	2.444779	0.574505
296.374939	2.484138	0.560025
297.961792	2.521968	0.546058
299.548645	2.558323	0.532582
301.135559	2.593259	0.519574
302.722473	2.626826	0.507016
304.309387	2.659073	0.494888
305.896301	2.690049	0.483171
307.483276	2.7198	0.471848
309.070251	2.748369	0.460902
310.657257	2.775798	0.450318
312.244263	2.80213	0.440081
313.831299	2.827402	0.430177
315.418335	2.851653	0.420592
317.005402	2.874919	0.411313
318.592468	2.897234	0.402328
320.179565	2.918632	0.393625
321.766663	2.939146	0.385194
323.35379	2.958807	0.377023
324.940948	2.977644	0.369103
326.528076	2.995687	0.361424
328.115265	3.012963	0.353976
329.702423	3.029499	0.346752
331.289612	3.045321	0.339742
332.876831	3.060454	0.332938
334.46405	3.074921	0.326333
336.05127	3.088746	0.31992
337.638489	3.101951	0.313691
339.225769	3.114557	0.30764
340.813019	3.126585	0.301761
342.400299	3.138055	0.296047
343.987579	3.148986	0.290492
345.57489	3.159397	0.285091
347.16217	3.169306	0.279838
348.749512	3.178729	0.274729
350.336853	3.187683	0.269758
351.924164	3.196185	0.264921
353.511505	3.20425	0.260212
355.098846	3.211892	0.255628
356.686218	3.219127	0.251165
358.27359	3.225968	0.246818
359.860962	3.232429	0.242584
361.448334	3.238522	0.238458
363.035736	3.244261	0.234438
364.623108	3.249656	0.23052
366.21051	3.254721	0.2267
367.797943	3.259466	0.222976
369.385345	3.263902	0.219344
370.972778	3.268039	0.215801
372.560211	3.271889	0.212346
374.147644	3.27546	0.208974
375.735046	3.278762	0.205683
377.32251	3.281805	0.202472
378.909943	3.284596	0.199336
380.497375	3.287146	0.196275
382.084839	3.289461	0.193286
383.672302	3.29155	0.190367
385.259735	3.293422	0.187515
