Wavelength (nm)	n	k
300.000000	0.461926	0.448318	
310.000000	0.494578	0.380330	
320.000000	0.523533	0.330255	
330.000000	0.537971	0.303011	
340.000000	0.540964	0.290457	
350.000000	0.543482	0.280953	
360.000000	0.552964	0.267557	
370.000000	0.566234	0.251420	
380.000000	0.577302	0.235346	
390.000000	0.581875	0.220730	
400.000000	0.579720	0.207357	
410.000000	0.573753	0.194204	
420.000000	0.566436	0.180577	
430.000000	0.559754	0.166061	
440.000000	0.554516	0.150971	
450.000000	0.550368	0.136222	
460.000000	0.546886	0.122567	
470.000000	0.543663	0.110576	
480.000000	0.540327	0.100651	
490.000000	0.536615	0.092741	
500.000000	0.532403	0.086400	
510.000000	0.527613	0.081233	
520.000000	0.522199	0.076906	
530.000000	0.516136	0.073141	
540.000000	0.509405	0.069704	
550.000000	0.502078	0.066431	
560.000000	0.494423	0.063276	
570.000000	0.486707	0.060218	
580.000000	0.479157	0.057242	
590.000000	0.471971	0.054338	
600.000000	0.465318	0.051502	
610.000000	0.459342	0.048731	
620.000000	0.454164	0.046027	
630.000000	0.449860	0.043402	
640.000000	0.446368	0.040899	
650.000000	0.443584	0.038568	
660.000000	0.441414	0.036447	
670.000000	0.439770	0.034569	
680.000000	0.438574	0.032956	
690.000000	0.437755	0.031625	
700.000000	0.437249	0.030587	
710.000000	0.436999	0.029849	
720.000000	0.436958	0.029414	
730.000000	0.437081	0.029280	
740.000000	0.437334	0.029430	
750.000000	0.437710	0.029691	
760.000000	0.438216	0.029816	
770.000000	0.438858	0.029597	
780.000000	0.439641	0.028859	
790.000000	0.440569	0.027458	
800.000000	0.441653	0.025276	
810.000000	0.442904	0.022219	
820.000000	0.444342	0.018217	
830.000000	0.445992	0.013218	
840.000000	0.447887	0.007187	
850.000000	0.450065	0.000110	
860.000000	0.452571	-0.008013	
870.000000	0.455453	-0.017162	
880.000000	0.458760	-0.027304	
890.000000	0.462542	-0.038389	
900.000000	0.466841	-0.050357	
910.000000	0.471633	-0.063180	
920.000000	0.476846	-0.076868	
930.000000	0.482428	-0.091416	
940.000000	0.488342	-0.106809	
950.000000	0.494565	-0.123018	
960.000000	0.501083	-0.140007	
970.000000	0.507887	-0.157729	
980.000000	0.514973	-0.176133	
990.000000	0.522337	-0.195161	
1000.000000	0.529974	-0.214755	
1010.000000	0.537880	-0.234853	
1020.000000	0.546045	-0.255395	
1030.000000	0.554460	-0.276323	
1040.000000	0.563112	-0.297581	
1050.000000	0.571986	-0.319116	
1060.000000	0.581068	-0.340879	
1070.000000	0.590340	-0.362826	
1080.000000	0.599784	-0.384916	
1090.000000	0.609384	-0.407112	
1100.000000	0.619122	-0.429382	
1110.000000	0.628981	-0.451695	
1120.000000	0.638945	-0.474027	
1130.000000	0.648998	-0.496353	
1140.000000	0.659127	-0.518653	
1150.000000	0.669316	-0.540910	
1160.000000	0.679551	-0.563091	
1170.000000	0.689815	-0.585137	
1180.000000	0.700088	-0.606995	
1190.000000	0.710352	-0.628624	
1200.000000	0.720591	-0.649990	
1210.000000	0.730789	-0.671065	
1220.000000	0.740932	-0.691829	
1230.000000	0.751008	-0.712266	
1240.000000	0.761004	-0.732364	
1250.000000	0.770912	-0.752114	
1260.000000	0.780723	-0.771511	
1270.000000	0.790429	-0.790552	
1280.000000	0.800025	-0.809234	
1290.000000	0.809504	-0.827559	
1300.000000	0.818862	-0.845527	
1310.000000	0.828096	-0.863142	
1320.000000	0.837204	-0.880405	
1330.000000	0.846181	-0.897323	
1340.000000	0.855028	-0.913898	
1350.000000	0.863742	-0.930136	
1360.000000	0.872324	-0.946043	
1370.000000	0.880771	-0.961624	
1380.000000	0.889085	-0.976885	
1390.000000	0.897267	-0.991832	
1400.000000	0.905315	-1.006470	
1410.000000	0.913231	-1.020807	
1420.000000	0.921016	-1.034848	
1430.000000	0.928672	-1.048599	
1440.000000	0.936198	-1.062067	
1450.000000	0.943597	-1.075258	
1460.000000	0.950871	-1.088177	
1470.000000	0.958020	-1.100830	
1480.000000	0.965046	-1.113224	
1490.000000	0.971952	-1.125364	
1500.000000	0.978738	-1.137255	
1510.000000	0.985407	-1.148904	
1520.000000	0.991960	-1.160316	
1530.000000	0.998399	-1.171496	
1540.000000	1.004727	-1.182449	
1550.000000	1.010944	-1.193180	
1560.000000	1.017053	-1.203695	
1570.000000	1.023056	-1.213999	
1580.000000	1.028954	-1.224095	
1590.000000	1.034750	-1.233989	
1600.000000	1.040444	-1.243686	
