Wavelength (nm)	n	k
300.000000	1.208971	4.137515	
310.000000	1.290969	4.223625	
320.000000	1.372880	4.319113	
330.000000	1.459422	4.432703	
340.000000	1.552706	4.556268	
350.000000	1.653713	4.675857	
360.000000	1.762636	4.783545	
370.000000	1.877331	4.879777	
380.000000	1.995276	4.967209	
390.000000	2.114524	5.047726	
400.000000	2.232235	5.120406	
410.000000	2.345182	5.182355	
420.000000	2.451348	5.231592	
430.000000	2.549640	5.267012	
440.000000	2.640645	5.291694	
450.000000	2.726066	5.312254	
460.000000	2.807092	5.333873	
470.000000	2.884486	5.360364	
480.000000	2.958755	5.394376	
490.000000	3.030833	5.435492	
500.000000	3.102124	5.480797	
510.000000	3.173747	5.527907	
520.000000	3.246549	5.575010	
530.000000	3.321155	5.620753	
540.000000	3.398008	5.664150	
550.000000	3.477122	5.704288	
560.000000	3.557724	5.739964	
570.000000	3.639105	5.770217	
580.000000	3.720736	5.794368	
590.000000	3.802234	5.811958	
600.000000	3.883330	5.822701	
610.000000	3.963850	5.826442	
620.000000	4.043695	5.823129	
630.000000	4.122720	5.812966	
640.000000	4.200263	5.797123	
650.000000	4.275591	5.776893	
660.000000	4.348100	5.753337	
670.000000	4.417290	5.727326	
680.000000	4.482753	5.699572	
690.000000	4.544160	5.670654	
700.000000	4.601249	5.641046	
710.000000	4.653812	5.611130	
720.000000	4.701696	5.581218	
730.000000	4.744787	5.551560	
740.000000	4.783034	5.522357	
750.000000	4.816677	5.493778	
760.000000	4.846105	5.465963	
770.000000	4.871668	5.439037	
780.000000	4.893680	5.413105	
790.000000	4.912426	5.388258	
800.000000	4.928162	5.364571	
810.000000	4.941122	5.342109	
820.000000	4.951518	5.320925	
830.000000	4.959544	5.301060	
840.000000	4.965379	5.282550	
850.000000	4.969185	5.265421	
860.000000	4.971116	5.249691	
870.000000	4.971308	5.235373	
880.000000	4.969892	5.222477	
890.000000	4.966988	5.211003	
900.000000	4.962707	5.200954	
910.000000	4.957152	5.192430	
920.000000	4.950421	5.185606	
930.000000	4.942604	5.180636	
940.000000	4.933785	5.177651	
950.000000	4.924049	5.176759	
960.000000	4.913474	5.178049	
970.000000	4.902134	5.181592	
980.000000	4.890105	5.187442	
990.000000	4.877458	5.195639	
1000.000000	4.864263	5.206211	
1010.000000	4.850588	5.219172	
1020.000000	4.836502	5.234525	
1030.000000	4.822069	5.252264	
1040.000000	4.807353	5.272374	
1050.000000	4.792418	5.294831	
1060.000000	4.777325	5.319602	
1070.000000	4.762132	5.346652	
1080.000000	4.746898	5.375933	
1090.000000	4.731678	5.407397	
1100.000000	4.716525	5.440989	
1110.000000	4.701490	5.476651	
1120.000000	4.686624	5.514319	
1130.000000	4.671970	5.553927	
1140.000000	4.657574	5.595408	
1150.000000	4.643475	5.638689	
1160.000000	4.629711	5.683657	
1170.000000	4.616313	5.730116	
1180.000000	4.603304	5.777874	
1190.000000	4.590708	5.826750	
1200.000000	4.578537	5.876581	
1210.000000	4.566804	5.927213	
1220.000000	4.555518	5.978506	
1230.000000	4.544681	6.030329	
1240.000000	4.534296	6.082564	
1250.000000	4.524360	6.135100	
1260.000000	4.514871	6.187839	
1270.000000	4.505823	6.240687	
1280.000000	4.497207	6.293562	
1290.000000	4.489016	6.346387	
1300.000000	4.481238	6.399095	
1310.000000	4.473864	6.451621	
1320.000000	4.466881	6.503910	
1330.000000	4.460277	6.555909	
1340.000000	4.454038	6.607575	
1350.000000	4.448153	6.658866	
1360.000000	4.442607	6.709744	
1370.000000	4.437387	6.760179	
1380.000000	4.432481	6.810139	
1390.000000	4.427874	6.859601	
1400.000000	4.423553	6.908541	
1410.000000	4.419507	6.956940	
1420.000000	4.415721	7.004782	
1430.000000	4.412184	7.052053	
1440.000000	4.408884	7.098739	
1450.000000	4.405808	7.144831	
1460.000000	4.402947	7.190321	
1470.000000	4.400289	7.235202	
1480.000000	4.397823	7.279469	
1490.000000	4.395540	7.323117	
1500.000000	4.393429	7.366146	
1510.000000	4.391482	7.408553	
1520.000000	4.389689	7.450337	
1530.000000	4.388041	7.491501	
1540.000000	4.386532	7.532045	
1550.000000	4.385151	7.571972	
1560.000000	4.383893	7.611284	
1570.000000	4.382751	7.649985	
1580.000000	4.381716	7.688079	
1590.000000	4.380782	7.725571	
1600.000000	4.379944	7.762466	
