Wavelength (nm)	n	k
300.000000	1.419772	3.906380	
310.000000	1.538182	4.048128	
320.000000	1.651878	4.181830	
330.000000	1.766987	4.311182	
340.000000	1.882783	4.436446	
350.000000	1.995971	4.556331	
360.000000	2.105542	4.669907	
370.000000	2.217874	4.776005	
380.000000	2.339682	4.874075	
390.000000	2.474674	4.964237	
400.000000	2.618294	5.043887	
410.000000	2.760905	5.108158	
420.000000	2.896029	5.153603	
430.000000	3.019714	5.178127	
440.000000	3.130872	5.187105	
450.000000	3.230072	5.192252	
460.000000	3.317526	5.202602	
470.000000	3.393260	5.224692	
480.000000	3.457464	5.262959	
490.000000	3.514094	5.315686	
500.000000	3.570325	5.376143	
510.000000	3.631771	5.438896	
520.000000	3.702525	5.499871	
530.000000	3.785471	5.556130	
540.000000	3.882572	5.605684	
550.000000	3.993333	5.647514	
560.000000	4.112631	5.681531	
570.000000	4.235725	5.707797	
580.000000	4.358967	5.726357	
590.000000	4.479578	5.737238	
600.000000	4.595467	5.740448	
610.000000	4.705084	5.735985	
620.000000	4.807302	5.723843	
630.000000	4.901439	5.704217	
640.000000	4.987657	5.678384	
650.000000	5.066326	5.647775	
660.000000	5.137767	5.613579	
670.000000	5.202261	5.576788	
680.000000	5.260058	5.538227	
690.000000	5.311383	5.498588	
700.000000	5.356443	5.458447	
710.000000	5.395432	5.418290	
720.000000	5.428528	5.378519	
730.000000	5.455905	5.339474	
740.000000	5.477749	5.301431	
750.000000	5.494467	5.264532	
760.000000	5.506573	5.228843	
770.000000	5.514527	5.194424	
780.000000	5.518742	5.161326	
790.000000	5.519587	5.129595	
800.000000	5.517396	5.099269	
810.000000	5.512471	5.070382	
820.000000	5.505083	5.042960	
830.000000	5.495478	5.017025	
840.000000	5.483882	4.992592	
850.000000	5.470498	4.969674	
860.000000	5.455513	4.948277	
870.000000	5.439096	4.928404	
880.000000	5.421405	4.910056	
890.000000	5.402581	4.893228	
900.000000	5.382754	4.877919	
910.000000	5.362010	4.864257	
920.000000	5.340392	4.852479	
930.000000	5.317945	4.842793	
940.000000	5.294717	4.835382	
950.000000	5.270753	4.830399	
960.000000	5.246103	4.827976	
970.000000	5.220818	4.828224	
980.000000	5.194953	4.831232	
990.000000	5.168563	4.837072	
1000.000000	5.141709	4.845800	
1010.000000	5.114450	4.857455	
1020.000000	5.086853	4.872064	
1030.000000	5.058980	4.889638	
1040.000000	5.030902	4.910178	
1050.000000	5.002688	4.933671	
1060.000000	4.974408	4.960097	
1070.000000	4.946132	4.989424	
1080.000000	4.917934	5.021608	
1090.000000	4.889884	5.056602	
1100.000000	4.862051	5.094346	
1110.000000	4.834507	5.134775	
1120.000000	4.807318	5.177818	
1130.000000	4.780550	5.223396	
1140.000000	4.754264	5.271425	
1150.000000	4.728520	5.321818	
1160.000000	4.703376	5.374431	
1170.000000	4.678885	5.429018	
1180.000000	4.655092	5.485337	
1190.000000	4.632032	5.543156	
1200.000000	4.609734	5.602266	
1210.000000	4.588216	5.662468	
1220.000000	4.567494	5.723578	
1230.000000	4.547573	5.785428	
1240.000000	4.528454	5.847859	
1250.000000	4.510135	5.910728	
1260.000000	4.492607	5.973902	
1270.000000	4.475858	6.037260	
1280.000000	4.459875	6.100691	
1290.000000	4.444640	6.164094	
1300.000000	4.430134	6.227377	
1310.000000	4.416335	6.290458	
1320.000000	4.403222	6.353261	
1330.000000	4.390770	6.415719	
1340.000000	4.378957	6.477772	
1350.000000	4.367757	6.539364	
1360.000000	4.357147	6.600451	
1370.000000	4.347101	6.660986	
1380.000000	4.337596	6.720933	
1390.000000	4.328607	6.780261	
1400.000000	4.320110	6.838939	
1410.000000	4.312084	6.896944	
1420.000000	4.304504	6.954253	
1430.000000	4.297349	7.010850	
1440.000000	4.290598	7.066719	
1450.000000	4.284232	7.121847	
1460.000000	4.278228	7.176226	
1470.000000	4.272570	7.229847	
1480.000000	4.267237	7.282704	
1490.000000	4.262215	7.334795	
1500.000000	4.257484	7.386116	
1510.000000	4.253029	7.436666	
1520.000000	4.248837	7.486447	
1530.000000	4.244890	7.535460	
1540.000000	4.241176	7.583709	
1550.000000	4.237681	7.631195	
1560.000000	4.234393	7.677925	
1570.000000	4.231300	7.723903	
1580.000000	4.228390	7.769136	
1590.000000	4.225653	7.813630	
1600.000000	4.223079	7.857391	
