Wavelength (nm),n,k,
138,0.69,1.09,
141,0.68,1.15,
144,0.66,1.22,
148,0.66,1.29,
151,0.65,1.36,
155,0.66,1.44,
159,0.66,1.51,
163,0.67,1.9,
168,0.68,1.67,
172,0.7,1.75,
177,0.73,1.82,
182,0.76,1.89,
188,0.78,1.97,
194,0.81,2.04,
200,0.82,2.11,
207,0.84,2.2,
210,0.85,2.24,
214,0.86,2.29,
218,0.87,2.34,
221,0.88,2.4,
225,0.9,2.45,
230,0.91,2.52,
234,0.94,2.58,
238,0.97,2.64,
243,1,2.7,
248,1.03,2.75,
253,1.06,2.81,
258,1.09,2.86,
264,1.11,2.91,
270,1.13,2.97,
276,1.14,3.04,
282,1.16,3.13,
288,1.18,3.21,
295,1.21,3.31,
302,1.25,3.42,
310,1.29,3.53,
318,1.35,3.64,
326,1.41,3.77,
335,1.5,3.9,
344,1.6,4.03,
354,1.71,4.16,
365,1.84,4.3,
376,2,4.43,
387,2.18,4.55,
400,2.4,4.64,
413,2.64,4.69,
428,2.87,4.64,
443,2.99,4.59,
459,3.06,4.59,
477,3.14,4.66,
496,3.27,4.77,
517,3.44,4.88,
528,3.56,4.94,
539,3.69,4.97,
551,3.82,4.99,
564,3.94,5,
577,4.05,5.03,
590,4.21,5.09,
620,4.61,5.06,
653,4.96,4.78,
689,5.1,4.45,
729,5.12,4.22,
751,5.11,4.11,
775,5.08,4.03,
800,5.04,3.94,
827,4.99,3.89,
855,4.93,3.83,
886,4.86,3.79,
918,4.77,3.75,
954,4.66,3.72,
992,4.51,3.68,
1030,4.28,3.66,
1080,4,3.73,
1130,3.69,3.91,
1180,3.41,4.22,
1240,3.17,4.59,
1310,2.97,5.03,
1380,2.82,5.54,
1460,2.73,6.12,
1550,2.73,6.71,
1650,2.77,7.33,
1770,2.82,7.99,
1910,2.9,8.71,
2070,2.98,9.54,
2250,3.09,10.5,
2480,3.27,11.63,
2760,3.54,12.96,
