Wavelength (nm)	n	k
300.000000	1.759097	0.000000	
305.000000	1.757946	0.000000	
310.000000	1.756861	0.000000	
315.000000	1.755837	0.000000	
320.000000	1.754868	0.000000	
325.000000	1.753951	0.000000	
330.000000	1.753082	0.000000	
335.000000	1.752258	0.000000	
340.000000	1.751475	0.000000	
345.000000	1.750730	0.000000	
350.000000	1.750021	0.000000	
355.000000	1.749346	0.000000	
360.000000	1.748702	0.000000	
365.000000	1.748087	0.000000	
370.000000	1.747501	0.000000	
375.000000	1.746939	0.000000	
380.000000	1.746401	0.000000	
385.000000	1.745887	0.000000	
390.000000	1.745393	0.000000	
395.000000	1.744920	0.000000	
400.000000	1.744466	0.000000	
405.000000	1.744030	0.000000	
410.000000	1.743611	0.000000	
415.000000	1.743208	0.000000	
420.000000	1.742820	0.000000	
425.000000	1.742446	0.000000	
430.000000	1.742086	0.000000	
435.000000	1.741739	0.000000	
440.000000	1.741404	0.000000	
445.000000	1.741081	0.000000	
450.000000	1.740768	0.000000	
455.000000	1.740466	0.000000	
460.000000	1.740174	0.000000	
465.000000	1.739891	0.000000	
470.000000	1.739618	0.000000	
475.000000	1.739353	0.000000	
480.000000	1.739097	0.000000	
485.000000	1.738848	0.000000	
490.000000	1.738607	0.000000	
495.000000	1.738372	0.000000	
500.000000	1.738145	0.000000	
505.000000	1.737925	0.000000	
510.000000	1.737711	0.000000	
515.000000	1.737502	0.000000	
520.000000	1.737300	0.000000	
525.000000	1.737102	0.000000	
530.000000	1.736910	0.000000	
535.000000	1.736723	0.000000	
540.000000	1.736542	0.000000	
545.000000	1.736364	0.000000	
550.000000	1.736191	0.000000	
555.000000	1.736023	0.000000	
560.000000	1.735859	0.000000	
565.000000	1.735698	0.000000	
570.000000	1.735541	0.000000	
575.000000	1.735388	0.000000	
580.000000	1.735239	0.000000	
585.000000	1.735092	0.000000	
590.000000	1.734950	0.000000	
595.000000	1.734809	0.000000	
600.000000	1.734673	0.000000	
605.000000	1.734539	0.000000	
610.000000	1.734408	0.000000	
615.000000	1.734279	0.000000	
620.000000	1.734154	0.000000	
625.000000	1.734031	0.000000	
630.000000	1.733910	0.000000	
635.000000	1.733791	0.000000	
640.000000	1.733675	0.000000	
645.000000	1.733561	0.000000	
650.000000	1.733449	0.000000	
655.000000	1.733340	0.000000	
660.000000	1.733231	0.000000	
665.000000	1.733125	0.000000	
670.000000	1.733021	0.000000	
675.000000	1.732919	0.000000	
680.000000	1.732819	0.000000	
685.000000	1.732720	0.000000	
690.000000	1.732622	0.000000	
695.000000	1.732526	0.000000	
700.000000	1.732432	0.000000	
705.000000	1.732339	0.000000	
710.000000	1.732247	0.000000	
715.000000	1.732157	0.000000	
720.000000	1.732068	0.000000	
725.000000	1.731980	0.000000	
730.000000	1.731894	0.000000	
735.000000	1.731809	0.000000	
740.000000	1.731725	0.000000	
745.000000	1.731642	0.000000	
750.000000	1.731560	0.000000	
755.000000	1.731479	0.000000	
760.000000	1.731399	0.000000	
765.000000	1.731320	0.000000	
770.000000	1.731242	0.000000	
775.000000	1.731165	0.000000	
780.000000	1.731090	0.000000	
785.000000	1.731014	0.000000	
790.000000	1.730940	0.000000	
795.000000	1.730866	0.000000	
800.000000	1.730794	0.000000	
805.000000	1.730722	0.000000	
810.000000	1.730651	0.000000	
815.000000	1.730580	0.000000	
820.000000	1.730510	0.000000	
825.000000	1.730441	0.000000	
830.000000	1.730373	0.000000	
835.000000	1.730305	0.000000	
840.000000	1.730238	0.000000	
845.000000	1.730172	0.000000	
850.000000	1.730105	0.000000	
855.000000	1.730040	0.000000	
860.000000	1.729974	0.000000	
865.000000	1.729910	0.000000	
870.000000	1.729846	0.000000	
875.000000	1.729783	0.000000	
880.000000	1.729720	0.000000	
885.000000	1.729658	0.000000	
890.000000	1.729596	0.000000	
895.000000	1.729535	0.000000	
900.000000	1.729473	0.000000	
905.000000	1.729413	0.000000	
910.000000	1.729352	0.000000	
915.000000	1.729293	0.000000	
920.000000	1.729233	0.000000	
925.000000	1.729173	0.000000	
930.000000	1.729115	0.000000	
935.000000	1.729056	0.000000	
940.000000	1.728998	0.000000	
945.000000	1.728941	0.000000	
950.000000	1.728883	0.000000	
955.000000	1.728826	0.000000	
960.000000	1.728769	0.000000	
965.000000	1.728713	0.000000	
970.000000	1.728656	0.000000	
975.000000	1.728600	0.000000	
980.000000	1.728544	0.000000	
985.000000	1.728488	0.000000	
990.000000	1.728433	0.000000	
995.000000	1.728378	0.000000	
1000.000000	1.728323	0.000000	
1005.000000	1.728268	0.000000	
1010.000000	1.728214	0.000000	
1015.000000	1.728159	0.000000	
1020.000000	1.728105	0.000000	
1025.000000	1.728052	0.000000	
1030.000000	1.727998	0.000000	
1035.000000	1.727944	0.000000	
1040.000000	1.727891	0.000000	
1045.000000	1.727838	0.000000	
1050.000000	1.727785	0.000000	
1055.000000	1.727732	0.000000	
1060.000000	1.727679	0.000000	
1065.000000	1.727626	0.000000	
1070.000000	1.727573	0.000000	
1075.000000	1.727521	0.000000	
1080.000000	1.727469	0.000000	
1085.000000	1.727416	0.000000	
1090.000000	1.727364	0.000000	
1095.000000	1.727313	0.000000	
1100.000000	1.727261	0.000000	
1105.000000	1.727209	0.000000	
1110.000000	1.727158	0.000000	
1115.000000	1.727106	0.000000	
1120.000000	1.727055	0.000000	
1125.000000	1.727003	0.000000	
1130.000000	1.726952	0.000000	
1135.000000	1.726901	0.000000	
1140.000000	1.726849	0.000000	
1145.000000	1.726798	0.000000	
1150.000000	1.726747	0.000000	
1155.000000	1.726696	0.000000	
1160.000000	1.726645	0.000000	
1165.000000	1.726594	0.000000	
1170.000000	1.726543	0.000000	
1175.000000	1.726492	0.000000	
1180.000000	1.726441	0.000000	
1185.000000	1.726390	0.000000	
1190.000000	1.726339	0.000000	
1195.000000	1.726289	0.000000	
1200.000000	1.726238	0.000000	
1205.000000	1.726187	0.000000	
1210.000000	1.726137	0.000000	
1215.000000	1.726086	0.000000	
1220.000000	1.726035	0.000000	
1225.000000	1.725985	0.000000	
1230.000000	1.725934	0.000000	
1235.000000	1.725884	0.000000	
1240.000000	1.725833	0.000000	
1245.000000	1.725782	0.000000	
1250.000000	1.725732	0.000000	
1255.000000	1.725681	0.000000	
1260.000000	1.725631	0.000000	
1265.000000	1.725580	0.000000	
1270.000000	1.725529	0.000000	
1275.000000	1.725479	0.000000	
1280.000000	1.725428	0.000000	
1285.000000	1.725378	0.000000	
1290.000000	1.725327	0.000000	
1295.000000	1.725276	0.000000	
1300.000000	1.725225	0.000000	
1305.000000	1.725174	0.000000	
1310.000000	1.725123	0.000000	
1315.000000	1.725072	0.000000	
1320.000000	1.725021	0.000000	
1325.000000	1.724970	0.000000	
1330.000000	1.724919	0.000000	
1335.000000	1.724869	0.000000	
1340.000000	1.724818	0.000000	
1345.000000	1.724767	0.000000	
1350.000000	1.724716	0.000000	
1355.000000	1.724664	0.000000	
1360.000000	1.724613	0.000000	
1365.000000	1.724561	0.000000	
1370.000000	1.724510	0.000000	
1375.000000	1.724459	0.000000	
1380.000000	1.724407	0.000000	
1385.000000	1.724355	0.000000	
1390.000000	1.724304	0.000000	
1395.000000	1.724252	0.000000	
1400.000000	1.724201	0.000000	
1405.000000	1.724149	0.000000	
1410.000000	1.724098	0.000000	
1415.000000	1.724046	0.000000	
1420.000000	1.723994	0.000000	
1425.000000	1.723941	0.000000	
1430.000000	1.723889	0.000000	
1435.000000	1.723837	0.000000	
1440.000000	1.723785	0.000000	
1445.000000	1.723733	0.000000	
1450.000000	1.723680	0.000000	
1455.000000	1.723628	0.000000	
1460.000000	1.723575	0.000000	
1465.000000	1.723523	0.000000	
1470.000000	1.723470	0.000000	
1475.000000	1.723418	0.000000	
1480.000000	1.723365	0.000000	
1485.000000	1.723312	0.000000	
1490.000000	1.723258	0.000000	
1495.000000	1.723205	0.000000	
1500.000000	1.723152	0.000000	
1505.000000	1.723099	0.000000	
1510.000000	1.723046	0.000000	
1515.000000	1.722993	0.000000	
1520.000000	1.722939	0.000000	
1525.000000	1.722885	0.000000	
1530.000000	1.722832	0.000000	
1535.000000	1.722778	0.000000	
1540.000000	1.722724	0.000000	
1545.000000	1.722671	0.000000	
1550.000000	1.722617	0.000000	
1555.000000	1.722563	0.000000	
1560.000000	1.722508	0.000000	
1565.000000	1.722454	0.000000	
1570.000000	1.722399	0.000000	
1575.000000	1.722345	0.000000	
1580.000000	1.722290	0.000000	
1585.000000	1.722236	0.000000	
1590.000000	1.722181	0.000000	
1595.000000	1.722126	0.000000	
1600.000000	1.722071	0.000000	
