Wavelength µm,n,k
2.50E-01,2.42E+00,3.97E-04
2.60E-01,2.41E+00,1.98E-04
2.70E-01,2.41E+00,1.04E-04
2.80E-01,2.40E+00,5.75E-05
2.90E-01,2.40E+00,3.30E-05
3.00E-01,2.39E+00,1.96E-05
3.10E-01,2.38E+00,1.21E-05
3.20E-01,2.38E+00,7.66E-06
3.30E-01,2.37E+00,5.00E-06
3.40E-01,2.37E+00,3.34E-06
3.50E-01,2.36E+00,2.29E-06
3.60E-01,2.36E+00,1.60E-06
3.70E-01,2.36E+00,1.14E-06
3.80E-01,2.35E+00,8.26E-07
3.90E-01,2.35E+00,6.09E-07
4.00E-01,2.34E+00,4.56E-07
4.10E-01,2.34E+00,3.46E-07
4.20E-01,2.34E+00,2.66E-07
4.30E-01,2.33E+00,2.07E-07
4.40E-01,2.33E+00,1.63E-07
4.50E-01,2.33E+00,1.30E-07
4.60E-01,2.33E+00,1.05E-07
4.70E-01,2.32E+00,8.49E-08
4.80E-01,2.32E+00,6.95E-08
4.90E-01,2.32E+00,5.73E-08
5.00E-01,2.32E+00,4.77E-08
5.10E-01,2.31E+00,3.99E-08
5.20E-01,2.31E+00,3.37E-08
5.30E-01,2.31E+00,2.86E-08
5.40E-01,2.31E+00,2.44E-08
5.50E-01,2.31E+00,2.10E-08
5.60E-01,2.31E+00,1.81E-08
5.70E-01,2.30E+00,1.57E-08
5.80E-01,2.30E+00,1.37E-08
5.90E-01,2.30E+00,1.20E-08
6.00E-01,2.30E+00,1.06E-08
6.10E-01,2.30E+00,9.36E-09
6.20E-01,2.30E+00,8.31E-09
6.30E-01,2.30E+00,7.40E-09
6.40E-01,2.29E+00,6.62E-09
6.50E-01,2.29E+00,5.94E-09
6.60E-01,2.29E+00,5.35E-09
6.70E-01,2.29E+00,4.83E-09
6.80E-01,2.29E+00,4.37E-09
6.90E-01,2.29E+00,3.97E-09
7.00E-01,2.29E+00,3.62E-09
7.10E-01,2.29E+00,3.30E-09
7.20E-01,2.29E+00,3.02E-09
7.30E-01,2.29E+00,2.77E-09
7.40E-01,2.29E+00,2.55E-09
7.50E-01,2.29E+00,2.35E-09
7.60E-01,2.28E+00,2.17E-09
7.70E-01,2.28E+00,2.01E-09
7.80E-01,2.28E+00,1.87E-09
7.90E-01,2.28E+00,1.74E-09
8.00E-01,2.28E+00,1.62E-09
8.10E-01,2.28E+00,1.51E-09
8.20E-01,2.28E+00,1.41E-09
8.30E-01,2.28E+00,1.32E-09
8.40E-01,2.28E+00,1.24E-09
8.50E-01,2.28E+00,1.16E-09
8.60E-01,2.28E+00,1.09E-09
8.70E-01,2.28E+00,1.03E-09
8.80E-01,2.28E+00,9.68E-10
8.90E-01,2.28E+00,9.14E-10
9.00E-01,2.28E+00,8.64E-10
9.10E-01,2.28E+00,8.17E-10
9.20E-01,2.28E+00,7.74E-10
9.30E-01,2.28E+00,7.35E-10
9.40E-01,2.28E+00,6.98E-10
9.50E-01,2.28E+00,6.63E-10
9.60E-01,2.27E+00,6.31E-10
9.70E-01,2.27E+00,6.01E-10
9.80E-01,2.27E+00,5.74E-10
9.90E-01,2.27E+00,5.48E-10
1.00E+00,2.27E+00,5.23E-10
